Serial number,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed,price_category
194,4146,26,14999,Thomson,5,10,900,Medium
195,20325,28,28790,IFB,5,9,720,High
196,829,29,19759,LG,5,7.5,700,Medium
198,15824,26,8499,Thomson,5,8,1400,Low
199,10448,27,11490,SAMSUNG,5,7.5,1300,Medium
200,3,7,12790,LG,5,6,1300,Medium
201,1711,31,36490,BOSCH,5,8,1400,Very High
202,61864,12,14781,SAMSUNG,3,6.5,680,Medium
203,57,25,16339,LG,5,10,1200,Medium
204,1627,60,23990,MOTOROLA,5,10,1400,High
205,2131,40,12490,Haier,5,8.5,1300,Medium
207,2514,24,14290,LG,5,8,1350,Medium
208,2428,30,13490,Lloyd,5,8.5,1300,Medium
209,10238,30,9390,ONIDA,5,8,1450,Low
210,2131,30,16990,Haier,5,11,1300,Medium
213,5554,33,8690,Panasonic,5,6.5,1350,Low
214,73103,13,31990,SAMSUNG,5,10,700,Very High
215,10241,33,13790,Voltas Beko,5,10,1350,Medium
216,84073,28,33590,IFB,5,8,1400,Very High
217,84073,22,49990,IFB,5,10,1400,Very High
219,8743,34,33990,BOSCH,5,8,1400,Very High
220,719,56,19490,Voltas Beko,5,10,700,Medium
221,3077,34,24990,BOSCH,5,7,1000,High
222,23378,32,29990,LG,5,7,1200,High
223,1569,47,11490,MOTOROLA,5,7,700,Medium
224,716,16,14160,Godrej,5,8,1440,Medium
225,956,10,12145,SAMSUNG,5,7,1300,Medium
226,73103,17,27500,SAMSUNG,5,9,700,High
227,4348,27,9190,Whirlpool,5,6,1400,Low
228,10241,31,15490,Voltas Beko,5,12,1350,Medium
229,6052,6,17847,LG,5,8.5,1300,Medium
230,2428,35,11490,Lloyd,5,8,1300,Medium
231,1580,31,10890,MarQ by Flipkart,5,6.5,705,Medium
232,188,35,12260,Whirlpool,5,8,1400,Medium
233,51640,43,10190,MarQ by Flipkart,5,10,1350,Medium
234,346,36,36990,Godrej,5,9,1400,Very High
235,1711,37,31490,BOSCH,5,7,1200,Very High
236,1711,26,45490,BOSCH,5,10,1200,Very High
237,436,28,14390,Godrej,5,8,1400,Medium
238,13922,40,12990,ONIDA,5,7,750,Medium
239,27,23,33990,Whirlpool,5,8,1400,Very High
240,67749,23,32990,LG,5,10,780,Very High
241,1084,16,17189,LG,5,10,1300,Medium
242,2228,44,19490,realme TechLife,5,11,700,Medium
244,1628,32,13490,Midea,5,7,680,Medium
246,2404,31,17299,Whirlpool,5,7.5,740,Medium
247,11841,19,19990,Panasonic,5,8,702,Medium
249,51640,43,9590,MarQ by Flipkart,5,8.5,1350,Low
251,346,40,22790,Godrej,5,6,1000,High
253,118,34,24999,Godrej,5,6,1000,High
254,2689,45,17990,Godrej,5,8,650,Medium
255,51640,32,6790,MarQ by Flipkart,5,6,1350,Low
256,97,8,16090,LG,5,8,800,Medium
260,58,26,23500,BOSCH,5,8,680,High
261,2131,32,12900,Haier,5,8,1300,Medium
262,3235,28,9990,Godrej,5,7,1400,Low
265,15582,35,10390,Sansui,5,9,1350,Medium
266,70,25,7490,Midea,5,7,1300,Low
267,84073,29,37990,IFB,5,9,1400,Very High
268,11841,38,14490,Panasonic,5,6.5,700,Medium
269,460,26,28990,Whirlpool,5,8,1400,High
271,58,21,57990,IFB,5,8.5,1400,Very High
273,14728,23,46790,SAMSUNG,5,12,1400,Very High
274,101,21,14250,SAMSUNG,5,8.5,1300,Medium
275,1669,42,10990,MarQ by Flipkart,5,6.5,700,Medium
276,28,34,13100,LG,5,7.5,1300,Medium
277,876,28,22740,Voltas Beko,5,6.5,1000,High
278,359,42,14509,Voltas Beko,5,14,750,Medium
279,150,34,14449,Whirlpool,5,9,1400,Medium
280,736,20,29990,SAMSUNG,5,7,1200,High
282,73103,28,23334,SAMSUNG,5,10,700,High
283,3384,21,31990,IFB,5,8,1200,Very High
284,1016,26,36990,Haier,5,9,1400,Very High
285,101,22,15299,SAMSUNG,5,8.5,1300,Medium
286,5438,16,15519,Godrej,5,7,720,Medium
287,1130,17,17690,Whirlpool,5,11,1400,Medium
288,9080,22,10390,Whirlpool,5,7,1400,Medium
290,29535,39,25620,Haier,5,8,780,High
291,8,25,17149,LG,5,9.5,1350,Medium
293,98,31,12990,Sansui,5,6.5,700,Medium
294,38,34,18999,BLACK+DECKER,5,6,1000,Medium
295,15,28,9990,Whirlpool,5,7,1400,Low
296,719,4,45990,Voltas Beko,5,11,700,Very High
297,10238,26,9990,ONIDA,5,8,1450,Low
299,1388,16,14450,LG,5,8,800,Medium
300,1182,52,16999,Acer,5,7.5,700,Medium
301,628,28,15909,Whirlpool,5,11,1400,Medium
303,6,16,22490,IFB,5,5.5,55,High
305,234,6,22999,Voltas Beko,5,14,1300,High
306,4146,33,11999,Thomson,5,7.5,840,Medium
307,2428,18,12218,Lloyd,5,7,1400,Medium
308,235,16,58990,IFB,5,8.5,1400,Very High
309,28,27,16999,Godrej,5,8.5,1400,Medium
311,467,25,8999,Thomson,5,7.5,1600,Low
312,20325,17,16890,IFB,5,6.5,720,Medium
313,5571,11,12479,Whirlpool,5,7.5,1450,Medium
314,5438,37,16900,Godrej,5,7,720,Medium
315,14542,7,15490,Whirlpool,5,6,740,Medium
316,8965,16,19990,SAMSUNG,5,7,700,Medium
317,840,29,28990,LG,5,10,700,High
318,187,41,12890,Godrej,5,8,1440,Medium
320,1182,50,15999,Acer,5,7,700,Medium
321,23599,13,9640,Whirlpool,5,6,1400,Low
322,11,41,23481,TCL,5,7.5,1400,High
324,1286,24,24390,BOSCH,5,7.5,680,High
325,2830,16,13590,Whirlpool,5,8.5,1450,Medium
326,1204,23,25990,LG,5,6,1000,High
327,15824,26,8499,Thomson,5,7,1400,Low
328,41,21,28990,Panasonic,5,7,1400,High
330,621,8,26490,LG,5,7,700,High
331,719,45,20594,Voltas Beko,5,8,700,High
332,3,31,16490,Haier,5,7,800,Medium
333,73103,5,28690,SAMSUNG,5,8,700,High
334,3,29,16490,Haier,5,7,800,Medium
335,22280,29,10490,MarQ by Flipkart,5,9,1400,Medium
337,84,32,8499,White Westinghouse (Trademark by Electrolux),5,8.5,1600,Low
338,1482,5,21599,Whirlpool,5,6.5,740,High
339,20,26,13249,Whirlpool,5,9,1400,Medium
341,227,30,23290,Whirlpool,5,9.5,740,High
342,35,12,21890,LG,5,7,780,High
343,69,27,14590,Lloyd,5,9,1300,Medium
344,263,22,36990,IFB,5,8,1200,Very High
345,31,27,15250,Whirlpool,5,6.5,740,Medium
346,13,19,12810,Panasonic,5,8,1350,Medium
347,3235,26,18990,Godrej,5,12,750,Medium
349,23378,25,32990,LG,5,8,1400,Very High
350,2759,23,18798,Whirlpool,5,6.5,740,Medium
351,33,33,13187,Godrej,5,8.5,1440,Medium
352,1201,23,35990,IFB,5,7,1200,Very High
354,10238,21,7990,ONIDA,5,6.5,1300,Low
356,43,21,13329,Godrej,5,8,1400,Medium
358,37218,8,9090,SAMSUNG,5,6,1300,Low
359,572,36,14990,ONIDA,5,7,700,Medium
360,58,30,27500,BOSCH,5,8,680,High
361,310,29,28950,LG,5,10,700,High
362,17,27,10522,Whirlpool,5,7.5,1400,Medium
363,19,32,16649,Lloyd,5,9,1300,Medium
364,7,20,52500,BOSCH,5,8,1200,Very High
370,107,23,14730,Whirlpool,5,6.5,1450,Medium
372,7,37,22300,BOSCH,5,8,680,High
374,42,38,12690,Singer,5,10,1350,Medium
377,34,37,8999,Lloyd,5,7,600,Low
378,572,34,15990,ONIDA,5,7.5,700,Medium
379,23378,30,36990,LG,5,9,1200,Very High
381,16,19,20480,SAMSUNG,5,8,700,High
382,4,25,14900,Lloyd,5,9,1300,Medium
383,40760,35,17190,ONIDA,5,8,700,Medium
384,15582,36,10150,Sansui,5,8.5,1350,Medium
385,253,23,9999,Godrej,5,7,1440,Low
386,44,32,11690,Voltas Beko,5,8,1300,Medium
388,467,25,8999,Thomson,5,7.5,1600,Low
389,20325,17,16890,IFB,5,6.5,720,Medium
390,5571,11,12479,Whirlpool,5,7.5,1450,Medium
391,5438,37,16900,Godrej,5,7,720,Medium
393,1213,37,10990,Lloyd,5,8,1300,Medium
394,14542,7,15490,Whirlpool,5,6,740,Medium
395,8965,16,19990,SAMSUNG,5,7,700,Medium
396,840,29,28990,LG,5,10,700,High
397,187,41,12890,Godrej,5,8,1440,Medium
399,1182,50,15999,Acer,5,7,700,Medium
400,23599,13,9640,Whirlpool,5,6,1400,Low
401,11,41,23481,TCL,5,7.5,1400,High
404,1286,24,24390,BOSCH,5,7.5,680,High
405,2830,16,13590,Whirlpool,5,8.5,1450,Medium
406,1204,23,25990,LG,5,6,1000,High
407,835,34,14620,ONIDA,5,11,1300,Medium
408,2428,29,15490,Lloyd,5,11,1300,Medium
409,15824,26,8499,Thomson,5,7,1400,Low
411,41,21,28990,Panasonic,5,7,1400,High
413,55,43,17490,Haier,5,7,800,Medium
414,621,8,26490,LG,5,7,700,High
415,719,45,20594,Voltas Beko,5,8,700,High
416,3,31,16490,Haier,5,7,800,Medium
417,16,23,43990,Siemens,5,8,1400,Very High
418,73103,5,28690,SAMSUNG,5,8,700,High
419,3,29,16490,Haier,5,7,800,Medium
420,8743,28,28490,BOSCH,4,7,1200,High
